Market_and_Exchange_Names	File
MSCI EMERGING MKTS MINI INDEX - ICE FUTURES U.S.	FinFut
MSCI EMERGING MKTS MINI INDEX - NYSE LIFFE	FinFut
E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE	FinFut
E-MINI MSCI EMERGING MARKETS - CHICAGO MERCANTILE EXCHANGE	FinFut
S&P 400 MIDCAP STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	FinFut
E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	FinFut
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE	FinFut
LONG-TERM U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE	FinFut
2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE	FinFut
10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE	FinFut
5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE	FinFut
DTCC Repo-US Treasury <30 YR - NYSE LIFFE - NYPC	FinFut
ONE-MONTH EURODOLLAR - CHICAGO MERCANTILE EXCHANGE	FinFut
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE	FinFut
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE	FinFut
INTEREST RATE SWAPS 10YR - CHICAGO BOARD OF TRADE	FinFut
10 YEAR DELIVERABLE IR SWAP - CHICAGO BOARD OF TRADE	FinFut
5 YEAR DELIVERABLE IR SWAP - CHICAGO BOARD OF TRADE	FinFut
INTEREST RATE SWAPS 5YR - CHICAGO BOARD OF TRADE	FinFut
3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE	FinFut
U.S. DOLLAR INDEX - ICE FUTURES U.S.	FinFut
VIX FUTURES - CBOE FUTURES EXCHANGE	FinFut
DOW JONES UBS EXCESS RETURN - CHICAGO BOARD OF TRADE	FinFut
S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE	FinFut
RUSSELL 1000 VALUE INDEX MINI - ICE FUTURES U.S.	FinFut
ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE	FinFut
ULTRA 10-YEAR U.S. T-NOTES - CHICAGO BOARD OF TRADE	FinFut
BLOOMBERG COMMODITY INDEX - CHICAGO BOARD OF TRADE	FinFut
